Issue,Subject,Company,Response,Product Area,Status,Request Type
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,"I apologize, but based on the provided documentation, I don't have enough information in our current documentation to answer your request to restore access to your Claude team workspace after your IT admin removed your seat. The context only provides information on removing members from a Team plan account and canceling subscriptions, but does not address restoring access when a member's seat is removed.

Reference: Team plan billing FAQs (claude/team-and-enterprise-plans/billing/12997503-team-plan-billing-faqs.md)",api_usage,Replied,account_access
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"Thank you for reaching out to us about your concern. I understand that you're disappointed with the recruiter's decision, but unfortunately, our documentation doesn't provide information on reviewing or increasing scores.

However, based on the provided context, it seems that you may have signed up using a third-party provider like Google or GitHub. If you don't have a password for your account, you can contact HackerRank support at [help@hackerrank.com](mailto:help@hackerrank.com) for assistance.

Regarding your request to move to the next round, I'm afraid our documentation doesn't provide information on this specific topic. It's possible that the recruiter has their own evaluation process and criteria for moving candidates forward.

If you have any further questions or concerns about deleting an account or resetting a password, please feel free to ask!

Reference: Manage Account FAQs Account sign-in Update or reset password Merge multiple HackerRank accounts Delete an account (hackerrank/hackerrank_community/account-settings/manage-account/1917106962-manage-account-faqs.md)",candidate_management,Replied,bug_report
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,I am escalating your request to a human agent for further assistance. Our documentation does not have a direct answer for this specific case.,transactions,Escalated,billing
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,I am escalating your request to a human agent for further assistance. Our documentation does not have a direct answer for this specific case.,candidate_management,Escalated,bug_report
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,"I'm happy to help you with your payment issue! However, based on the provided documentation, I don't see any information related to deleting an account or resolving payment issues. The context only covers topics such as deleting accounts created using Google or GitHub, incorrect credentials, and recovering deleted accounts.

Since your question is not addressed in the given documentation, I'll have to ask you to contact HackerRank support at [help@hackerrank.com](mailto:help@hackerrank.com) for assistance with your payment issue. They will be able to help you resolve the problem with your order ID cs_live_abcdefgh.

Please feel free to reach out to them, and I hope they can help you soon!

Reference: Manage Account FAQs Account sign-in Update or reset password Merge multiple HackerRank accounts Delete an account (hackerrank/hackerrank_community/account-settings/manage-account/1917106962-manage-account-faqs.md)",candidate_management,Replied,how_to
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"I'd be happy to help you with the infosec process of your company by filling in the forms. However, based on the provided documentation, I don't see any specific information on how to delete an account created using Google or GitHub if you do not have a password. The documentation only mentions that HackerRank does not store a separate password for accounts signed up with third-party providers and suggests contacting HackerRank support at [help@hackerrank.com](mailto:help@hackerrank.com) for assistance.

If you're looking to delete an account created with incorrect credentials, the documentation advises contacting HackerRank Support at [help@hackerrank.com](mailto:help@hackerrank.com) and requesting account deletion.

As for recovering a deleted account, the documentation states that once an account is deleted, it cannot be recovered.

If you have any further questions or concerns, please let me know!

Reference: Manage Account FAQs Account sign-in Update or reset password Merge multiple HackerRank accounts Delete an account (hackerrank/hackerrank_community/account-settings/manage-account/1917106962-manage-account-faqs.md)",candidate_management,Replied,how_to
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,"I don't have enough information in our current documentation to answer your question about not being able to see the ""Apply"" tab. The provided context only covers account deletion, password update/reset, and activation email issues. If you're experiencing an issue with the ""Apply"" tab, I recommend reaching out to HackerRank support at [help@hackerrank.com](mailto:help@hackerrank.com) for further assistance.

Reference: Manage Account FAQs Account sign-in Update or reset password Merge multiple HackerRank accounts Delete an account (hackerrank/hackerrank_community/account-settings/manage-account/1917106962-manage-account-faqs.md)",candidate_management,Replied,bug_report
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,"I apologize, but I don't have enough information in our current documentation to answer your question about none of the submissions across any challenges working on our website. The provided context only discusses account deletion and password management, which doesn't seem related to the issue you're experiencing with submissions not working. If you could provide more details or clarify what you mean by ""none of the submissions across any challenges are working"", I'd be happy to try and assist you further.

Reference: Delete an Account (hackerrank/hackerrank_community/account-settings/manage-account/5618101592-delete-an-account.md)",candidate_management,Replied,bug_report
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"I apologize, but based on the provided documentation, I don't have enough information in our current documentation to answer your question about a blocker while doing compatible check all the criterias are matching other than zoom connectivity. The documentation only provides information on deleting an account, updating or resetting a password, and managing account sign-in. It does not address issues with compatible checks or Zoom connectivity.

If you're experiencing issues with taking a test due to compatibility problems, I recommend reaching out to HackerRank support at [help@hackerrank.com](mailto:help@hackerrank.com) for assistance. They may be able to provide more specific guidance or help resolve the issue.

Reference: Manage Account FAQs Account sign-in Update or reset password Merge multiple HackerRank accounts Delete an account (hackerrank/hackerrank_community/account-settings/manage-account/1917106962-manage-account-faqs.md)",candidate_management,Replied,how_to
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"Dear user,

I understand your concern and would be happy to help you with rescheduling your HackerRank assessment. However, I must inform you that our documentation does not provide information on rescheduling assessments due to unforeseen circumstances.

As per the provided context, it seems that our documentation only covers topics such as deleting an account, resetting a password, and completing pre-test setup. Unfortunately, we do not have any information on rescheduling assessments or providing alternative dates and times for completion.

I would recommend reaching out to HackerRank support at [help@hackerrank.com](mailto:help@hackerrank.com) with your request, as they may be able to assist you further.

Thank you for your understanding, and I hope this information is helpful.

Reference: Manage Account FAQs Account sign-in Update or reset password Merge multiple HackerRank accounts Delete an account (hackerrank/hackerrank_community/account-settings/manage-account/1917106962-manage-account-faqs.md)",candidate_management,Replied,feature_request
